Date (UTC),Type,Direction,Message count
2025-01-31T00:00:00,EdgeBlockSpam,Inbound,12
2025-01-31T00:00:00,EmailPhish,Inbound,153
2025-01-31T00:00:00,EmailPhish,Outbound,1
2025-01-31T00:00:00,GoodMail,Inbound,107937
2025-01-31T00:00:00,GoodMail,IntraOrg,88103
2025-01-31T00:00:00,GoodMail,Outbound,20312
2025-01-31T00:00:00,SpamDetections,Inbound,3078
2025-01-31T00:00:00,SpamDetections,IntraOrg,5
2025-01-31T00:00:00,TransportRules,Inbound,46
2025-01-31T00:00:00,TransportRules,IntraOrg,7
2025-01-30T00:00:00,EdgeBlockSpam,Inbound,26
2025-01-30T00:00:00,EmailPhish,Inbound,260
2025-01-30T00:00:00,EmailPhish,IntraOrg,3
2025-01-30T00:00:00,EmailPhish,Outbound,3
2025-01-30T00:00:00,GoodMail,Inbound,120698
2025-01-30T00:00:00,GoodMail,IntraOrg,102299
2025-01-30T00:00:00,GoodMail,Outbound,24532
2025-01-30T00:00:00,SpamDetections,Inbound,2540
2025-01-30T00:00:00,TransportRules,Inbound,47
2025-01-30T00:00:00,TransportRules,IntraOrg,22
2025-01-30T00:00:00,TransportRules,Outbound,2
2025-01-29T00:00:00,EdgeBlockSpam,Inbound,20
2025-01-29T00:00:00,EmailMalware,Inbound,4
2025-01-29T00:00:00,EmailPhish,Inbound,270
2025-01-29T00:00:00,EmailPhish,Outbound,1
2025-01-29T00:00:00,GoodMail,Inbound,119222
2025-01-29T00:00:00,GoodMail,IntraOrg,104056
2025-01-29T00:00:00,GoodMail,Outbound,24683
2025-01-29T00:00:00,SpamDetections,Inbound,3102
2025-01-29T00:00:00,SpamDetections,IntraOrg,5
2025-01-29T00:00:00,SpamDetections,Outbound,1
2025-01-29T00:00:00,TransportRules,Inbound,55
2025-01-29T00:00:00,TransportRules,IntraOrg,1
2025-01-28T00:00:00,EdgeBlockSpam,Inbound,128
2025-01-28T00:00:00,EmailPhish,Inbound,127
2025-01-28T00:00:00,GoodMail,Inbound,121774
2025-01-28T00:00:00,GoodMail,IntraOrg,110753
2025-01-28T00:00:00,GoodMail,Outbound,25669
2025-01-28T00:00:00,SpamDetections,Inbound,3181
2025-01-28T00:00:00,TransportRules,Inbound,59
2025-01-28T00:00:00,TransportRules,IntraOrg,1
2025-01-28T00:00:00,TransportRules,Outbound,5
2025-01-27T00:00:00,EdgeBlockSpam,Inbound,24
2025-01-27T00:00:00,EmailMalware,Inbound,2
2025-01-27T00:00:00,EmailPhish,Inbound,76
2025-01-27T00:00:00,EmailPhish,IntraOrg,1
2025-01-27T00:00:00,EmailPhish,Outbound,1
2025-01-27T00:00:00,GoodMail,Inbound,121780
2025-01-27T00:00:00,GoodMail,IntraOrg,107606
2025-01-27T00:00:00,GoodMail,Outbound,24763
2025-01-27T00:00:00,SpamDetections,Inbound,3111
2025-01-27T00:00:00,SpamDetections,IntraOrg,21
2025-01-27T00:00:00,SpamDetections,Outbound,4
2025-01-27T00:00:00,TransportRules,Inbound,70
2025-01-27T00:00:00,TransportRules,IntraOrg,6
2025-01-27T00:00:00,TransportRules,Outbound,2
2025-01-26T00:00:00,EdgeBlockSpam,Inbound,14
2025-01-26T00:00:00,EmailPhish,Inbound,13
2025-01-26T00:00:00,GoodMail,Inbound,60544
2025-01-26T00:00:00,GoodMail,IntraOrg,23711
2025-01-26T00:00:00,GoodMail,Outbound,5552
2025-01-26T00:00:00,SpamDetections,Inbound,1504
2025-01-26T00:00:00,TransportRules,Inbound,29
2025-01-26T00:00:00,TransportRules,IntraOrg,2
2025-01-26T00:00:00,TransportRules,Outbound,1
2025-01-25T00:00:00,EdgeBlockSpam,Inbound,28
2025-01-25T00:00:00,EmailPhish,Inbound,45
2025-01-25T00:00:00,GoodMail,Inbound,85809
2025-01-25T00:00:00,GoodMail,IntraOrg,54451
2025-01-25T00:00:00,GoodMail,Outbound,14631
2025-01-25T00:00:00,SpamDetections,Inbound,1867
2025-01-25T00:00:00,TransportRules,Inbound,41
2025-01-25T00:00:00,TransportRules,IntraOrg,18
2025-01-24T00:00:00,EdgeBlockSpam,Inbound,70
2025-01-24T00:00:00,EmailPhish,Inbound,276
2025-01-24T00:00:00,EmailPhish,Outbound,4
2025-01-24T00:00:00,GoodMail,Inbound,207512
2025-01-24T00:00:00,GoodMail,IntraOrg,178698
2025-01-24T00:00:00,GoodMail,Outbound,41862
2025-01-24T00:00:00,SpamDetections,Inbound,5923
2025-01-24T00:00:00,TransportRules,Inbound,50
2025-01-24T00:00:00,TransportRules,IntraOrg,4
2025-01-23T00:00:00,EdgeBlockSpam,Inbound,34
2025-01-23T00:00:00,EmailPhish,Inbound,321
2025-01-23T00:00:00,EmailPhish,IntraOrg,2
2025-01-23T00:00:00,GoodMail,Inbound,253214
2025-01-23T00:00:00,GoodMail,IntraOrg,221477
2025-01-23T00:00:00,GoodMail,Outbound,56162
2025-01-23T00:00:00,SpamDetections,Inbound,5690
2025-01-23T00:00:00,TransportRules,Inbound,74
2025-01-22T00:00:00,EdgeBlockSpam,Inbound,80
2025-01-22T00:00:00,EmailMalware,Inbound,14
2025-01-22T00:00:00,EmailPhish,Inbound,476
2025-01-22T00:00:00,EmailPhish,IntraOrg,4
2025-01-22T00:00:00,GoodMail,Inbound,256978
2025-01-22T00:00:00,GoodMail,IntraOrg,211364
2025-01-22T00:00:00,GoodMail,Outbound,50353
2025-01-22T00:00:00,SpamDetections,Inbound,6165
2025-01-22T00:00:00,SpamDetections,IntraOrg,2
2025-01-22T00:00:00,TransportRules,Inbound,42
2025-01-22T00:00:00,TransportRules,IntraOrg,14
2025-01-21T00:00:00,EdgeBlockSpam,Inbound,32
2025-01-21T00:00:00,EmailPhish,Inbound,716
2025-01-21T00:00:00,EmailPhish,IntraOrg,26
2025-01-21T00:00:00,GoodMail,Inbound,260101
2025-01-21T00:00:00,GoodMail,IntraOrg,217183
2025-01-21T00:00:00,GoodMail,Outbound,52782
2025-01-21T00:00:00,SpamDetections,Inbound,7905
2025-01-21T00:00:00,SpamDetections,IntraOrg,46
2025-01-21T00:00:00,SpamDetections,Outbound,24
2025-01-21T00:00:00,TransportRules,Inbound,40
2025-01-21T00:00:00,TransportRules,IntraOrg,5
2025-01-20T00:00:00,EdgeBlockSpam,Inbound,27
2025-01-20T00:00:00,EmailMalware,Inbound,2
2025-01-20T00:00:00,EmailPhish,Inbound,808
2025-01-20T00:00:00,EmailPhish,IntraOrg,12
2025-01-20T00:00:00,EmailPhish,Outbound,2
2025-01-20T00:00:00,GoodMail,Inbound,256643
2025-01-20T00:00:00,GoodMail,IntraOrg,214384
2025-01-20T00:00:00,GoodMail,Outbound,49846
2025-01-20T00:00:00,SpamDetections,Inbound,6600
2025-01-20T00:00:00,SpamDetections,IntraOrg,18
2025-01-20T00:00:00,TransportRules,Inbound,59
2025-01-20T00:00:00,TransportRules,IntraOrg,3
2025-01-19T00:00:00,EdgeBlockSpam,Inbound,8
2025-01-19T00:00:00,EmailPhish,Inbound,72
2025-01-19T00:00:00,GoodMail,Inbound,129749
2025-01-19T00:00:00,GoodMail,IntraOrg,47518
2025-01-19T00:00:00,GoodMail,Outbound,12458
2025-01-19T00:00:00,SpamDetections,Inbound,2123
2025-01-19T00:00:00,TransportRules,Inbound,28
2025-01-18T00:00:00,EdgeBlockSpam,Inbound,19
